id,type,subtype,postal_code,locality,price,rooms_cnt,area,immo_url,Type of sale,Kitchen type,Terrace surface,Garden surface,Swimming pool,Furnished,Open fire,Building condition,Number of frontages,Surface of good,Construction year
20642288,house,house,1700,Dilbeek,475000,4.0,166.0,https://www.immoweb.be/en/classified/house/for-sale/dilbeek/1700/20642288,For sale,Installed,,,0,0,0,Good,3.0,616.0,1972.0
20672762,apartment,apartment,1020,Bruxelles,145000,1.0,50.0,https://www.immoweb.be/en/classified/apartment/for-sale/bruxelles/1020/20672762,For sale,Installed,,,0,0,0,Good,2.0,,
20669159,apartment,apartment,6800,Libramont-Chevigny,120000,2.0,51.0,https://www.immoweb.be/en/classified/apartment/for-sale/libramont-chevigny/6800/20669159,For sale,Installed,,,0,0,0,Good,2.0,,
20641382,house,house,1981,Zemst Hofstade,529000,3.0,222.0,https://www.immoweb.be/en/classified/house/for-sale/zemst-hofstade/1981/20641382,For sale,Hyper equipped,,,0,1,0,Good,4.0,398.0,1974.0
20662505,apartment,apartment-block,5500,Dinant,175000,3.0,200.0,https://www.immoweb.be/en/classified/apartment-block/for-sale/dinant/5500/20662505,For sale,,,,0,0,0,Good,,60.0,
20670532,house,mixed-use-building,1040,Etterbeek,719000,2.0,200.0,https://www.immoweb.be/en/classified/mixed-use-building/for-sale/etterbeek/1040/20670532,For sale,USA hyper equipped,1.0,,0,0,0,As new,3.0,55.0,
20629298,apartment,ground-floor,1160,Auderghem,795000,3.0,124.0,https://www.immoweb.be/en/classified/ground-floor/for-sale/auderghem/1160/20629298,For sale,Hyper equipped,55.0,55.0,0,0,0,As new,,,2024.0
20641591,house,house,4607,DALHEM,349000,4.0,234.0,https://www.immoweb.be/en/classified/house/for-sale/dalhem/4607/20641591,For sale,,,,0,0,0,To be done up,3.0,1715.0,1999.0
20625344,house,house,2550,Kontich,995000,5.0,270.0,https://www.immoweb.be/en/classified/house/for-sale/kontich/2550/20625344,For sale,,75.0,,0,0,0,As new,,11933.0,1986.0
20662571,house,house,5100,WГ‰PION,275000,3.0,155.0,https://www.immoweb.be/en/classified/house/for-sale/wepion/5100/20662571,For sale,,24.0,,0,0,0,To renovate,4.0,785.0,1960.0
20570376,house,house,2570,Duffel,525000,3.0,189.0,https://www.immoweb.be/en/classified/house/for-sale/duffel/2570/20570376,For sale,Hyper equipped,,,0,0,0,As new,3.0,470.0,1974.0
20568394,apartment,ground-floor,1180,Uccle,650000,2.0,107.0,https://www.immoweb.be/en/classified/ground-floor/for-sale/uccle/1180/20568394,For sale,Hyper equipped,16.0,52.0,0,0,0,As new,,,2024.0
